problem,N,algorithm,final_avg_last100_max_exploitability,std_across_runs_last100,ci95_across_runs_last100,auc_mean_max_exploitability,best_seen_mean_max_exploitability,n_runs
Linear,20,TRPA-Full,0.07819287784589687,0.003473836589793054,0.0030449520249413017,0.08059570535547891,0.05024792731383957,5
Linear,20,A-TRPA-Full,0.04015011211095047,0.0066727714369756,0.005848942048307387,0.042038055055128386,0.01671546786208181,5
Linear,100,TRPA-Full,0.046435766071004476,0.0011955664120758564,0.001047960165454719,0.046422532486503715,0.03351256630524125,5
Linear,100,A-TRPA-Full,0.01708304313554567,0.0019340812561120782,0.0016952969677685166,0.018140981756254875,0.0081619717179361,5
Linear,500,TRPA-Full,0.029530779316262124,0.0006112196053848065,0.0005357576060338413,0.030674320589475213,0.023381580224850214,5
Linear,500,A-TRPA-Full,0.008421911411041396,0.0006947301715128402,0.000608957844692937,0.009134084211583035,0.004671184362441011,5
Linear,1000,TRPA-Full,0.025426937020365185,0.0003836687003805782,0.00033630044359686913,0.026332781718836386,0.020836753393439395,5
Linear,1000,A-TRPA-Full,0.006614042368208582,0.0006922823965284267,0.0006068122753194984,0.0068887328150714555,0.0036229174200541614,5
KL,20,TRPA-Full,0.008048677301883501,0.00024600802538264925,0.0002156355417643102,0.008044183972903603,0.006216130992962235,5
KL,20,A-TRPA-Full,0.00233782861896479,0.00025604458046272685,0.00022443297017654812,0.002894632948489139,0.0012998819583009025,5
KL,100,TRPA-Full,0.006729147379796405,6.509993721962258e-05,5.706261090198554e-05,0.00677055025839878,0.00582914669616155,5
KL,100,A-TRPA-Full,0.001089215272556432,8.493743591559316e-05,7.445094517238496e-05,0.0016934170745784684,0.0006819690957404478,5
KL,500,TRPA-Full,0.006086040355341571,4.5701680141533285e-05,4.0059288885108886e-05,0.006100960291763762,0.00553112643100602,5
KL,500,A-TRPA-Full,0.0006915388198187074,2.5139811560748553e-05,2.203601641581659e-05,0.0012900804290069416,0.0004739042027856827,5
KL,1000,TRPA-Full,0.005772652827277921,5.422449243366973e-05,4.752986324182654e-05,0.005853454557223799,0.00537299472956432,5
KL,1000,A-TRPA-Full,0.0006090276963607107,5.3348923969141335e-05,4.676239364441542e-05,0.0012877091227243044,0.00045534269047445286,5
BB,20,TRPA-Full,0.07755292661148783,0.001984056376352835,0.001739102092057003,0.07831014952644624,0.05184478603974905,5
BB,20,A-TRPA-Full,0.020622040928688412,0.001870094603100001,0.0016392101934997396,0.02100771544142319,0.007081384732897789,5
BB,100,TRPA-Full,0.05310093218587301,0.0007407772061575348,0.0006493198501470444,0.0534986922484365,0.033618390041607514,5
BB,100,A-TRPA-Full,0.010707218617097194,0.0008344971544582031,0.0007314690068442839,0.01093984980784669,0.005209967941393767,5
BB,500,TRPA-Full,0.03687687907789651,0.0005078066642510417,0.0004451121665115547,0.03745825757233442,0.03230303935058003,5
BB,500,A-TRPA-Full,0.005169738613763639,0.0005214252762751116,0.00045704940627160106,0.005798961312757969,0.0030748540520589398,5
BB,1000,TRPA-Full,0.03172698354148406,0.00029583286798933703,0.0002593089418987286,0.032283399620998306,0.027961205184216763,5
BB,1000,A-TRPA-Full,0.003931400037521138,0.00045049438659431685,0.00039487574018752926,0.004430878663727771,0.0023321993012155096,5
